,Date,Organization,Away Team,Score,Home Team,Event
0,30/05/14,FRI,Spain,2 - 0,Bolivia,View events
1,06/06/14,FRI,Greece,2 - 1,Bolivia,View events
2,06/09/14,FRI,Bolivia,0 - 4,Ecuador,View events
3,09/09/14,FRI,Bolivia,0 - 1,Mexico,View events
4,14/10/14,FRI,Chile,2 - 2,Bolivia,View events
5,18/11/14,FRI,Bolivia,3 - 2,Venezuela,View events
6,06/06/15,FRI,Argentina,5 - 0,Bolivia,View events
7,12/06/15,CCA,Mexico,0 - 0,Bolivia,
8,15/06/15,CCA,Ecuador,2 - 3,Bolivia,View events
9,19/06/15,CCA,Chile,5 - 0,Bolivia,View events
10,25/06/15,CCA,Bolivia,1 - 3,Peru,View events
11,04/09/15,FRI,Argentina,7 - 0,Bolivia,View events
12,08/10/15,CWC,Bolivia,0 - 2,Uruguay,View events
13,13/10/15,CWC,Ecuador,2 - 0,Bolivia,View events
14,12/11/15,CWC,Bolivia,4 - 2,Venezuela,View events
15,17/11/15,CWC,Paraguay,2 - 1,Bolivia,View events
16,24/03/16,CWC,Bolivia,2 - 3,Colombia,View events
17,29/03/16,CWC,Argentina,2 - 0,Bolivia,View events
18,28/05/16,FRI,United States,4 - 0,Bolivia,View events
19,06/06/16,CCA,Panama,2 - 1,Bolivia,View events
20,10/06/16,CCA,Chile,2 - 1,Bolivia,View events
21,14/06/16,CCA,Argentina,3 - 0,Bolivia,View events
22,01/09/16,CWC,Bolivia,0 - 3,Peru,View events
23,06/09/16,CWC,Chile,3 - 0,Bolivia,
24,06/10/16,CWC,Brazil,5 - 0,Bolivia,View events
25,11/10/16,CWC,Bolivia,2 - 2,Ecuador,View events
26,10/11/16,CWC,Venezuela,5 - 0,Bolivia,View events
27,15/11/16,CWC,Bolivia,1 - 0,Paraguay,View events
28,23/03/17,CWC,Colombia,1 - 0,Bolivia,View events
29,28/03/17,CWC,Bolivia,2 - 0,Argentina,View events
30,02/06/17,FRI,Nicaragua,0 - 1,Bolivia,View events
31,07/06/17,FRI,Bolivia,3 - 2,Nicaragua,View events
32,31/08/17,CWC,Peru,2 - 1,Bolivia,View events
33,05/09/17,CWC,Bolivia,1 - 0,Chile,View events
34,05/10/17,CWC,Bolivia,0 - 0,Brazil,
35,10/10/17,CWC,Uruguay,4 - 2,Bolivia,View events
36,23/03/18,FRI,Curaçao,1 - 1,Bolivia,View events
37,26/03/18,FRI,Curaçao,1 - 0,Bolivia,View events
38,28/05/18,FRI,United States,3 - 0,Bolivia,View events
39,07/06/18,FRI,Korea Republic,0 - 0,Bolivia,
40,09/06/18,FRI,Serbia,5 - 1,Bolivia,View events
41,10/09/18,FRI,Saudi Arabia,2 - 2,Bolivia,View events
42,13/10/18,FRI,Myanmar,0 - 3,Bolivia,View events
43,16/10/18,FRI,IR Iran,2 - 1,Bolivia,View events
44,16/11/18,FRI,UAE,0 - 0,Bolivia,
45,20/11/18,FRI,Iraq,0 - 0,Bolivia,
46,03/03/19,FRI,Bolivia,2 - 2,Nicaragua,View events
47,22/03/19,FRI,Korea Republic,1 - 0,Bolivia,View events
48,26/03/19,FRI,Japan,1 - 0,Bolivia,View events
49,02/06/19,FRI,France,2 - 0,Bolivia,View events
50,14/06/19,CCA,Brazil,3 - 0,Bolivia,View events
51,18/06/19,CCA,Bolivia,1 - 3,Peru,View events
